id,saleprice
902301120,6.99684500226115e+50
905108090,4.263423791723231e+63
528218130,1.6834396510329742e+77
902207150,1.2062197555584715e+46
535105100,1.5184202699704287e+57
923228370,1.6929418379388378e+16
902427150,1.2131704711823423e+47
907202130,5.498897336121373e+56
533208090,3.168900001850033e+24
914476010,1.978536241552866e+57
531452100,1.7245353177510544e+45
903455140,1.0911268602965857e+46
535303050,8.101005258134232e+63
906230030,2.962457107369821e+42
903206160,1.822568817653307e+61
905480180,8.170945056122599e+37
902128150,1.5209652340070498e+49
905451300,7.6737531037945e+53
535425040,6.3116703769470445e+62
902330040,2.613972831873464e+85
905105070,9.356979492732535e+50
532354160,3.011168628388226e+45
531451020,3.246052464428068e+53
906475050,2.1723569427864647e+98
531363010,2.961161076594902e+55
907227050,1.5371949882923227e+41
535150070,1.1030353531294203e+60
902125020,5.044883676836e+46
534425310,1.7531116506782561e+47
534451020,4.2971421435735604e+24
527404150,8.25908239267028e+36
903458170,3.910402142226311e+28
902326030,1.8460146264042663e+57
527378020,5.472506778652916e+55
907196060,2.7867912194535505e+64
528218100,5.701039630764569e+60
902103090,1.5512353814051403e+41
905228020,2.8002194281211074e+34
535451010,2.2113577115704255e+36
533242080,2.257327866274158e+47
533210010,4.631934514543589e+25
528280100,1.658666466651169e+57
534427140,1.2506542443098523e+41
535351050,2.060557168210528e+74
916226090,1.279766347871997e+36
923228150,7.855409630009684e+18
907196050,4.181107356351258e+55
531479030,7.829620398175198e+43
535350040,5.003252775650311e+37
532377100,5.036065283886213e+45
902427040,3.285925201253735e+53
902329030,7.465088559584417e+38
906380030,1.2897402226102083e+54
903455090,1.1996988455927061e+42
903228070,6.999337974067244e+31
527403040,1.0132541329547403e+46
903401020,2.8085991778808635e+54
534252040,1.9246157359345364e+51
527375210,1.1886584794947309e+59
907253060,3.426778036793645e+51
528346050,2.359313439991735e+68
905200100,2.9402437476774637e+69
905226170,7.590984729318421e+72
534250335,7.346040861012444e+63
531450040,4.804393193912292e+39
528363050,2.0250512554957435e+67
527403120,5.420789443564761e+49
528174030,2.7062488034601e+31
908226180,7.801322458952383e+29
907425015,1.946145064272659e+29
534451130,3.334824031897601e+29
528118060,5.979257546863627e+114
909428180,2.874411634314149e+122
527165020,1.7746327500671085e+48
527404030,5.347657344521356e+49
534129080,1.8495120258268783e+94
923202060,2.5314785554879156e+87
535402230,2.244369355012996e+59
534276290,2.402022890367419e+34
528150090,3.8338638440211076e+80
907260040,2.0994035524659465e+54
910205120,3.060846789753591e+42
902305010,1.2359714005995828e+25
908102020,2.3171112302811308e+42
906476030,2.7227352353708003e+58
528108020,2.2543523556175523e+67
907203070,5.570457711935303e+40
534251030,3.7389588288648596e+82
916326010,2.442835719190737e+90
535454160,8.830098085753562e+35
532354070,3.942445045085791e+48
908275090,7.360403945358778e+54
902206130,1.2376227715028938e+41
527183030,4.0489211673571884e+36
903225040,7.518068299302754e+36
902300040,5.00717962539008e+49
905451330,2.3261968865051575e+60
528181070,1.375597839033256e+38
531385060,1.0021385549136729e+43
534177230,5.734396723175763e+43
533252040,2.6788598093974946e+81
535303030,6.528551841067198e+69
923275090,4.792012411579957e+41
528164060,1.984646644845047e+83
535176070,5.3767678141271984e+66
902207010,9.036565173201916e+30
527163020,8.646227342030364e+40
534152070,2.997978817362812e+89
904100090,4.577559579563292e+71
905101300,1.7473209113020675e+75
526351100,8.839445242452961e+59
527366030,1.4715829058323707e+44
902427180,2.491372815450872e+47
923205120,1.1195056906025265e+91
531385130,1.8618703383486147e+84
528320060,1.7809132496813375e+167
903476030,1.9720079385186864e+31
527451020,1.6915439000628758e+16
906340130,1.3992249014688383e+63
527105030,1.931148066004814e+52
528431040,8.486787342347896e+68
528144030,4.081292676392803e+56
527252090,1.8745279785554554e+56
527110080,3.107252418451633e+67
909101190,8.247649097563488e+30
528120130,3.430698166373248e+61
907203010,6.343306483774208e+51
535305180,1.2383099902552985e+52
903230110,1.992255285605166e+30
528458140,7.764433514117001e+65
907200190,1.438743937980979e+49
527106150,5.460509172538581e+48
905107250,1.3150246010316384e+54
535101020,8.779048437510037e+61
533213120,2.7819958295965913e+19
909281080,1.1282735993431872e+65
528427040,6.026384453196805e+58
531375040,4.347373525401245e+66
528174020,2.657104465169026e+31
923276180,3.2765427524367753e+59
534176060,4.703138411016775e+49
534430080,9.602289231399494e+55
903484020,1.1780812123648555e+54
527226020,6.304799298930589e+145
908250040,2.316437185355153e+37
902109140,9.843957170058267e+43
903427120,2.094871966560903e+44
907200290,1.109024220669468e+55
911226030,5.606318160466038e+46
533254050,3.0219591084341514e+84
907412010,1.5735818916930022e+57
905451390,3.906854728765056e+56
903476110,6.059273002760866e+41
527452310,7.558308051041373e+46
535378020,4.3444493062988794e+48
535150210,7.594556356086371e+46
923228270,2.2200257445793396e+20
535151020,1.4096063239428827e+49
906203140,3.827365678162706e+64
907255020,6.451235493127575e+45
907295020,2.8098353270259796e+72
908275130,4.85002319012554e+59
535155110,3.7548363804751975e+53
528110020,2.9032224901682746e+88
528180130,3.77434252688127e+45
528431060,5.420576950218059e+59
531375120,5.752224377074199e+68
528228285,8.552471999710685e+29
527365010,1.0469210073832266e+53
907412040,6.576117601000129e+58
528320050,1.2535111363903056e+92
907135170,4.889559828308528e+45
905427140,2.5413660857663552e+73
533212120,2.294982804396367e+18
527164120,2.9179172076364337e+53
