id,saleprice
902301120,inf
905108090,inf
528218130,inf
902207150,inf
535105100,inf
923228370,inf
902427150,inf
907202130,inf
533208090,inf
914476010,inf
531452100,inf
903455140,inf
535303050,inf
906230030,inf
903206160,inf
905480180,inf
902128150,inf
905451300,inf
535425040,inf
902330040,inf
905105070,inf
532354160,inf
531451020,inf
906475050,inf
531363010,inf
907227050,inf
535150070,inf
902125020,inf
534425310,inf
534451020,inf
527404150,inf
903458170,inf
902326030,inf
527378020,inf
907196060,inf
528218100,inf
902103090,inf
905228020,inf
535451010,inf
533242080,inf
533210010,inf
528280100,inf
534427140,inf
535351050,inf
916226090,inf
923228150,inf
907196050,inf
531479030,inf
535350040,inf
532377100,inf
902427040,inf
902329030,inf
906380030,inf
903455090,inf
903228070,inf
527403040,inf
903401020,inf
534252040,inf
527375210,inf
907253060,inf
528346050,inf
905200100,inf
905226170,inf
534250335,inf
531450040,inf
528363050,inf
527403120,inf
528174030,inf
908226180,inf
907425015,inf
534451130,inf
528118060,inf
909428180,inf
527165020,inf
527404030,inf
534129080,inf
923202060,inf
535402230,inf
534276290,inf
528150090,inf
907260040,inf
910205120,inf
902305010,inf
908102020,inf
906476030,inf
528108020,inf
907203070,inf
534251030,inf
916326010,inf
535454160,inf
532354070,inf
908275090,inf
902206130,inf
527183030,inf
903225040,inf
902300040,inf
905451330,inf
528181070,inf
531385060,inf
534177230,inf
533252040,inf
535303030,inf
923275090,inf
528164060,inf
535176070,inf
902207010,inf
527163020,inf
534152070,inf
904100090,inf
905101300,inf
526351100,inf
527366030,inf
902427180,inf
923205120,inf
531385130,inf
528320060,inf
903476030,inf
527451020,inf
906340130,inf
527105030,inf
528431040,inf
528144030,inf
527252090,inf
527110080,inf
909101190,inf
528120130,inf
907203010,inf
535305180,inf
903230110,inf
528458140,inf
907200190,inf
527106150,inf
905107250,inf
535101020,inf
533213120,inf
909281080,inf
528427040,inf
531375040,inf
528174020,inf
923276180,inf
534176060,inf
534430080,inf
903484020,inf
527226020,inf
908250040,inf
902109140,inf
903427120,inf
907200290,inf
911226030,inf
533254050,inf
907412010,inf
905451390,inf
903476110,inf
527452310,inf
535378020,inf
535150210,inf
923228270,inf
535151020,inf
906203140,inf
907255020,inf
907295020,inf
908275130,inf
535155110,inf
528110020,inf
528180130,inf
528431060,inf
531375120,inf
528228285,inf
527365010,inf
907412040,inf
528320050,inf
907135170,inf
905427140,inf
533212120,inf
527164120,inf
535402220,inf
535382150,inf
905108120,inf
923228310,inf
535453180,inf
909250030,inf
534252270,inf
532477040,inf
528222020,inf
527376100,inf
905480030,inf
528250020,inf
903206120,inf
532353020,inf
908250030,inf
527376110,inf
923225390,inf
903425420,inf
532377020,inf
528218050,inf
914452120,inf
528435020,inf
909256010,inf
905225040,inf
535325130,inf
528344070,inf
902325100,inf
905103180,inf
531450170,inf
903475100,inf
535451210,inf
527455100,inf
905452120,inf
528181080,inf
528427070,inf
527161090,inf
534250410,inf
909100150,inf
916176125,inf
533215070,inf
531450030,inf
905202190,inf
902110080,inf
903481130,inf
535453080,inf
533223010,inf
535377090,inf
535475020,inf
528221070,inf
909176150,inf
535383110,inf
907260010,inf
528445020,inf
909277090,inf
528354050,inf
905426030,inf
923226320,inf
902102100,inf
908275200,inf
535150300,inf
527107030,inf
902111010,inf
528102140,inf
528429120,inf
533208010,inf
907290260,inf
527301280,inf
528168040,inf
908178050,inf
921128020,inf
906380040,inf
526302110,inf
534275060,inf
528290120,inf
528186120,inf
911370450,inf
909175030,inf
906223210,inf
528482130,inf
916403010,inf
903231220,inf
902104060,inf
528170040,inf
906223080,inf
916326090,inf
528235000,inf
903453050,inf
527450150,inf
905403150,inf
527108090,inf
535475010,inf
535152250,inf
906223060,inf
534403100,inf
908186090,inf
902332030,inf
528480150,inf
902329090,inf
909282030,inf
527405130,inf
908127050,inf
907290140,inf
533251130,inf
535451230,inf
535150240,inf
527108040,inf
909131170,inf
923400150,inf
902301150,inf
903228080,inf
528390210,inf
909281010,inf
527450210,inf
531479020,inf
905451320,inf
535402180,inf
532351150,inf
923228390,inf
535457050,inf
905201090,inf
907425010,inf
906394060,inf
528385050,inf
916455120,inf
909275040,inf
909275020,inf
528180120,inf
532353130,inf
903234090,inf
902105130,inf
905200160,inf
916125425,inf
906380180,inf
904301100,inf
532378050,inf
909426060,inf
527127150,inf
528429070,inf
528222010,inf
909177100,inf
527258010,inf
528120060,inf
527131110,inf
528294070,inf
534451110,inf
903232170,inf
905476120,inf
909176140,inf
528120090,inf
907227080,inf
527452060,inf
535403280,inf
528228550,inf
903456110,inf
534479240,inf
535302120,inf
527165010,inf
534478140,inf
533253030,inf
903481010,inf
909254070,inf
902207170,inf
535353160,inf
535450220,inf
533253060,inf
923229140,inf
902134120,inf
535450070,inf
907185060,inf
533130160,inf
533244030,inf
527107120,inf
527455270,inf
528290010,inf
905103130,inf
903476090,inf
908152110,inf
527451380,inf
528429130,inf
905402110,inf
535425010,inf
902406070,inf
907181100,inf
914465020,inf
910200040,inf
534479130,inf
923251160,inf
904300150,inf
534278230,inf
907412090,inf
911370460,inf
917425190,inf
909425180,inf
916460110,inf
902207080,inf
535402010,inf
527450520,inf
903400040,inf
528327010,inf
905104030,inf
921126010,inf
909254090,inf
911370540,inf
528253010,inf
905476230,inf
909252110,inf
903475060,inf
528138010,inf
528106060,inf
907285080,inf
906475100,inf
535382020,inf
909254050,inf
923251080,inf
902103150,inf
527451330,inf
528435040,inf
531453040,inf
535450100,inf
906385010,inf
902331010,inf
907420050,inf
527107240,inf
905108190,inf
911226010,inf
527225035,inf
527302210,inf
909278020,inf
528120020,inf
535452120,inf
535453040,inf
904352190,inf
907262050,inf
528172020,inf
535305030,inf
902202070,inf
535456070,inf
527353060,inf
535327230,inf
907285040,inf
528344100,inf
904100160,inf
916403130,inf
527425060,inf
905200290,inf
905401020,inf
535325350,inf
535355020,inf
903225160,inf
907196020,inf
528108140,inf
533253070,inf
907405140,inf
914478020,inf
907280100,inf
